ZCTA5,CBSA,MEMI,POPPT,HUPT,AREAPT,AREALANDPT,ZPOP,ZHU,ZAREA,ZAREALAND,MPOP,MHU,MAREA,MAREALAND,ZPOPPCT,ZHUPCT,ZAREAPCT,ZAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT
00731,10260,2,342,144,3431345,3431345,15524,5962,126414374,123332268,19483,8125,173777444,172725651,2.2,2.42,2.71,2.78,1.76,1.77,1.97,1.99
00731,38660,1,15182,5818,122983029,119900923,15524,5962,126414374,123332268,243147,99359,874803803,545648108,97.8,97.58,97.29,97.22,6.24,5.86,14.06,21.97
00735,21940,1,13617,7700,58551309,56708945,13730,7749,62204914,60362550,70692,38114,804692323,219399913,99.18,99.37,94.13,93.95,19.26,20.2,7.28,25.85
00735,41980,1,113,49,3653605,3653605,13730,7749,62204914,60362550,2478905,1073552,5223033344,4117856690,.82,.63,5.87,6.05,0,0,.07,.09
00736,41980,1,51532,22315,142781219,142701655,51532,22315,142781219,142701655,2478905,1073552,5223033344,4117856690,100,100,100,100,2.08,2.08,2.73,3.47
00738,21940,1,34922,18383,154956494,76243980,34922,18383,154956494,76243980,70692,38114,804692323,219399913,100,100,100,100,49.4,48.23,19.26,34.75
00739,41980,1,39678,15565,82906554,81792808,39678,15565,82906554,81792808,2478905,1073552,5223033344,4117856690,100,100,100,100,1.6,1.45,1.59,1.99
00740,21940,1,2071,1008,1144309,1103423,2071,1008,1144309,1103423,70692,38114,804692323,219399913,100,100,100,100,2.93,2.64,.14,.5
00741,41980,1,4971,2196,8913858,6121151,4971,2196,8913858,6121151,2478905,1073552,5223033344,4117856690,100,100,100,100,.2,.2,.17,.15
00745,41980,1,55062,24529,139831239,133676216,55062,24529,139831239,133676216,2478905,1073552,5223033344,4117856690,100,100,100,100,2.22,2.28,2.68,3.25
00751,17620,2,23129,10808,151042738,121664561,23129,10808,151042738,121664561,71590,31096,497661896,381705801,100,100,100,100,32.31,34.76,30.35,31.87
00754,41980,1,40828,17146,132406042,132164302,40828,17146,132406042,132164302,2478905,1073552,5223033344,4117856690,100,100,100,100,1.65,1.6,2.54,3.21
